model,map_model_name
SUNNY GF FB15,SUNNY
CARAVAN-KRGE24,CARAVAN
CARAVAN DRGE24,CARAVAN
MARCH HK11,MARCH
VANETTE C22,VANETTE
VANETTE VUC22,VANETTE
SUNNY QB15,SUNNY
CLIPPER U71V,CLIPPER
DBA-AK12 MARCH,MARCH
GF-FB15,SUNNY
CARAVAN CSGE25,CARAVAN
X TRAIL HT32,X-TRAIL
WINGROAD DBA Y12,WINGROAD
SERENA VAJC23,SERENA
KR-CWGE25 CARAVAN,CARAVAN
CARAVAN VWE25,CARAVAN
